R1,R2,heri,E_t,E_p,E
4.3,1.0,48.0,-6.4281120384112,3.403132312349044,-18.906183528946713
4.7,1.2,48.0,-7.454148619261105,-5.388014213414863,-40.592622903874144
4.3,1.3,48.0,-7.077803889347706,-5.229565428337082,-38.77034641406499
4.7,1.1,48.0,-7.405803993984591,-5.087600076105446,-39.798416128149256
4.3,1.4,48.0,-7.140578734688461,-5.357226062798873,-39.27676706435159
4.4,1.1,48.0,-7.5503904555225745,-2.8686167842242867,-35.93879539053887
4.7,1.0,48.0,-7.331165444396902,-3.6824796840082854,-36.68962114560418
4.7,1.3,48.0,-7.476212498324458,-5.079537827637978,-40.063925648573786
4.5,1.4,48.0,-8.011190501274541,-5.025923373177648,-42.09660875145346
4.5,1.2,48.0,-7.931660511472728,-5.164850322064012,-42.05634269001894
4.6,1.4,48.0,-7.836344252456911,-4.786271029035561,-40.917919067898765
4.5,1.3,48.0,-7.994751621852629,-5.375904525513761,-42.73081553843804
4.6,1.3,48.0,-7.833726908196695,-5.264818940195255,-41.86454551317729
4.6,1.1,48.0,-7.725994109001476,-4.6300938301719725,-40.16416409634985
4.6,1.2,48.0,-7.796948547184002,-5.357084245537408,-41.90196267981082
4.4,1.4,48.0,-7.8481979164644144,-5.2249218543292955,-41.84263537451625
4.4,1.3,48.0,-7.810012050322257,-5.377936402801424,-41.99592100689188
4.6,1.0,48.0,-7.622192032285966,-2.5589305590838194,-35.6066292473115
4.3,1.2,48.0,-6.931533190829214,-4.111973883467726,-35.95008053025231
4.5,1.0,48.0,-7.675147601170465,-1.0518799527781084,-32.80435031023808
4.3,1.1,48.0,-6.7109998216619715,-1.4616665731882676,-29.76733243302442
4.4,1.2,48.0,-7.7090287485625595,-4.765479112742469,-40.367073219735175
4.7,1.4,48.0,-7.472958231635857,-4.524909349041991,-38.94165162462741
4.5,1.1,48.0,-7.823837978125084,-3.906746737891808,-39.10884538828395
4.4,1.0,48.0,-7.341484218894038,0.9065749921137467,-27.55278689134866
4.3,1.3,49.0,-6.844250314985402,-5.474470031214878,-38.325941322371364
4.3,1.0,49.0,-6.2075974942417815,0.4103112187003717,-24.009767539566383
4.6,1.2,49.0,-7.868833582731895,-5.463447190471925,-42.40222871187143
4.6,1.1,49.0,-7.799856428464409,-5.252252424950711,-41.70393056375906
4.5,1.4,49.0,-8.011265175126027,-4.817409330164082,-41.679879360832274
4.7,1.3,49.0,-7.574628656904679,-4.868320471607149,-40.03515557083301
4.6,1.3,49.0,-7.900942641834263,-5.114075977937318,-41.83192252321169
4.5,1.0,49.0,-7.687525235931389,-2.9373203441500664,-36.62474163202569
4.5,1.2,49.0,-7.945985937258229,-5.463545081904158,-42.71103391284123
4.6,1.4,49.0,-7.8963109905598685,-4.54605016077403,-40.677344283787534
4.5,1.3,49.0,-8.00405006512301,-5.316874659620225,-42.64994957973249
4.4,1.4,49.0,-7.747277993243188,-5.068956753821112,-41.127025480614975
4.5,1.1,49.0,-7.83909462869633,-4.8419575213920325,-41.040293557569385
4.4,1.2,49.0,-7.629109702655114,-5.305386206600815,-41.12721122382209
4.3,1.2,49.0,-6.711227607680485,-4.940917103434913,-36.726744637591764
4.4,1.0,49.0,-7.258199836651329,-1.4905094427522272,-32.01381823210977
4.7,1.1,49.0,-7.512342641828582,-5.446666317991912,-40.94270320329815
