R3t,R3p,Et1,Ep,Et2,E
-4.0,-4.0,-4.92056444415357,-4.09831550065428,-7.864737197465729,-33.76723428454716
-4.0,-3.9,-4.92056444415357,-4.173796168528497,-7.843527359422296,-33.875775944208726
-4.0,-3.8,-4.92056444415357,-4.245577037567273,-7.780227288254537,-33.89273753995076
-4.0,-3.7,-4.92056444415357,-4.313633007113822,-7.680418057716452,-33.829231017967686
-4.0,-3.6,-4.92056444415357,-4.378016788046807,-7.5506113391020335,-33.69838514260482
-4.0,-3.5,-4.92056444415357,-4.438994444906712,-7.400072317570448,-33.51926241326146
-4.0,-3.4,-4.92056444415357,-4.4969713487662375,-7.238433271704707,-33.31193812924903
-4.0,-3.3,-4.92056444415357,-4.552446997840889,-7.07548147480702,-33.09698583360296
-4.0,-3.2,-4.92056444415357,-4.60603384161368,-6.9202612287481315,-32.89371902903076
-4.0,-3.1,-4.92056444415357,-4.658547643688507,-6.78122634824831,-32.720676872180775
-4.0,-3.0,-4.92056444415357,-4.710905823041685,-6.6648031628574245,-32.59254686010536
-4.0,-2.9,-4.92056444415357,-4.764180166996084,-6.575676034961361,-32.52084129222203
-4.0,-2.8,-4.92056444415357,-4.8195629444671795,-6.517147549835499,-32.5145498769125
-4.0,-2.7,-4.92056444415357,-4.87809582229238,-6.490104378841352,-32.5775292905746
-4.0,-2.6,-4.92056444415357,-4.940506711951457,-6.493848103447817,-32.70983851910569
-4.0,-2.5,-4.92056444415357,-5.007116898428649,-6.525987283093855,-32.907337251352146
-4.0,-2.4,-4.92056444415357,-5.077765739290044,-6.5819881580537185,-33.160636682994664
-4.0,-2.3,-4.92056444415357,-5.151764228474349,-6.656027435499709,-33.456712216255255
-4.0,-2.2,-4.92056444415357,-5.227970297797583,-6.741039980261121,-33.77914944442455
-4.0,-2.1,-4.92056444415357,-5.304906788864173,-6.828951621195301,-34.10884570842609
-4.0,-2.0,-4.92056444415357,-5.380939665599726,-6.911036831792444,-34.42508188309148
-4.0,-1.9,-4.92056444415357,-5.454466267488897,-6.978361752058845,-34.70678492740262
-4.0,-1.8,-4.92056444415357,-5.523914054152556,-7.022945710050408,-34.934848416713066
-4.0,-1.7,-4.92056444415357,-5.587948939646594,-7.038030423107557,-35.09308761381544
-4.0,-1.6,-4.92056444415357,-5.645495371660218,-7.018780298822094,-35.16968022927176
-4.0,-1.5,-4.92056444415357,-5.695688641513698,-6.963055528292898,-35.15861722792033
-4.0,-1.4,-4.92056444415357,-5.738014191039838,-6.8713411767967045,-35.059839623980224
-4.0,-1.3,-4.92056444415357,-5.772221016115509,-6.746668117353693,-34.87890715524554
-4.0,-1.2,-4.92056444415357,-5.798172319773585,-6.594268528686371,-34.62601058522705
-4.0,-1.1,-4.92056444415357,-5.815854296437465,-6.420875593146775,-34.31458866747562
-4.0,-1.0,-4.92056444415357,-5.825465239584446,-6.2339196563116275,-33.959898680099286
-4.0,-0.9,-4.92056444415357,-5.827342749456875,-6.041270321176853,-33.578355029574595
-4.0,-0.8,-4.92056444415357,-5.822200932656415,-5.85038177925162,-33.18629431212321
-4.0,-0.7,-4.92056444415357,-5.811186877079308,-5.667780761723407,-32.79906416591257
-4.0,-0.6,-4.92056444415357,-5.79578903678339,-5.4990188498049974,-32.430744661483914
-4.0,-0.5,-4.92056444415357,-5.7777895397739485,-5.348253924865276,-32.09321581758559
-4.0,-0.4,-4.92056444415357,-5.759193908423185,-5.218253933067899,-31.79602457128931
-4.0,-0.3,-4.92056444415357,-5.741985074360855,-5.110801630769856,-31.54670229856856
-4.0,-0.2,-4.92056444415357,-5.72803929192014,-5.0263067817431875,-31.349821035633795
-4.0,-0.1,-4.92056444415357,-5.7189818125916645,-4.963632965402212,-31.206358444294892
-4.0,0.0,-4.92056444415357,-5.715861832839437,-4.92056444415357,-31.113981442293152
-3.9,-4.0,-4.963632965402212,-4.09831550065428,-7.843527359422296,-33.81095165095758
-3.9,-3.9,-4.963632965402212,-4.173796168528497,-7.864737197465729,-34.004332662792876
-3.9,-3.8,-4.963632965402212,-4.245577037567273,-7.843527359422296,-34.10547472478356
-3.9,-3.7,-4.963632965402212,-4.313633007113822,-7.780227288254537,-34.11498652154114
-3.9,-3.6,-4.963632965402212,-4.378016788046807,-7.680418057716452,-34.04413562233094
-3.9,-3.5,-4.963632965402212,-4.438994444906712,-7.5506113391020335,-33.906477498821914
-3.9,-3.4,-4.963632965402212,-4.4969713487662375,-7.400072317570448,-33.721353263477795
-3.9,-3.3,-4.963632965402212,-4.552446997840889,-7.238433271704707,-33.509026469895616
-3.9,-3.2,-4.963632965402212,-4.60603384161368,-7.07548147480702,-33.290296563645825
-3.9,-3.1,-4.963632965402212,-4.658547643688507,-6.9202612287481315,-33.0848836756777
-3.9,-3.0,-4.963632965402212,-4.710905823041685,-6.78122634824831,-32.911530273384415
-3.9,-2.9,-4.963632965402212,-4.764180166996084,-6.6648031628574245,-32.78523259051144
-3.9,-2.8,-4.963632965402212,-4.8195629444671795,-6.575676034961361,-32.717743889661506
-3.9,-2.7,-4.963632965402212,-4.87809582229238,-6.517147549835499,-32.71775267506018
-3.9,-2.6,-4.963632965402212,-4.940506711951457,-6.490104378841352,-32.78848811239004
-3.9,-2.5,-4.963632965402212,-5.007116898428649,-6.493848103447817,-32.929195934557356
-3.9,-2.4,-4.963632965402212,-5.077765739290044,-6.525987283093855,-33.13477197557222
-3.9,-2.3,-4.963632965402212,-5.151764228474349,-6.5819881580537185,-33.39477070386056
-3.9,-2.2,-4.963632965402212,-5.227970297797583,-6.656027435499709,-33.69526139739901
-3.9,-2.1,-4.963632965402212,-5.304906788864173,-6.741039980261121,-34.01915946905501
-3.9,-2.0,-4.963632965402212,-5.380939665599726,-6.828951621195301,-34.34704850439448
-3.9,-1.9,-4.963632965402212,-5.454466267488897,-6.911036831792444,-34.658272129367106
