A2,a,b,Et,Ep,Ei0,Eip1,Eit1,Eip2,Eit3,E
10,8.4,5.6,-6.54554049478611,-4.975939691532403,-1.165775527828373,-0.19132528896443546,-0.0622433444368653,-0.15831951808650047,-2.159324033476878,-48.05115154362284
10,8.4,5.8,-6.888695593224838,-5.801239588414319,-1.1679291420150548,-0.167896575643681,-0.0614075010525994,-0.1437863864703104,-2.1417161030112766,-50.92898017424159
10,8.4,6.0,-7.092025775986258,-5.641023735515773,-1.1923392810858786,-0.1384600814199075,-0.05826869606971741,-0.12895456014666706,-2.128700290573761,-51.3175343668554
10,8.4,6.2,-7.179441056621727,-5.06797281827312,-1.2234298915136606,-0.1265097811119631,-0.05883847502991557,-0.12131525331642479,-2.1388075941358693,-50.58680399158038
10,8.6,6.0,-7.090468923619483,-5.641023735515773,-1.2298581041395664,-0.14605295239016414,-0.05745418800506741,-0.13454692903906107,-2.1764010906335898,-51.60026025120169
10,8.6,6.2,-7.085429390892386,-5.06797281827312,-1.2370129731716588,-0.12931098567787558,-0.05692331469617784,-0.1234676125459373,-2.1628198917023838,-50.336219168500975
10,8.8,6.0,-6.930278170912061,-5.641023735515773,-1.2370129731716588,-0.14787524158600718,-0.05522966507123783,-0.1358621900435537,-2.186989066947717,-51.01353589235805
10,8.8,6.2,-6.860979104123544,-5.06797281827312,-1.2748204505769536,-0.12326429935637861,-0.052870855084620416,-0.12322790385223925,-2.1860145439277403,-49.578028956661
10,9.0,6.0,-6.667800150578842,-5.641023735515773,-1.2867192951962352,-0.1430534546962008,-0.05168611602857709,-0.1369452723301947,-2.20724822714692,-50.12242149049416
10,9.0,6.2,-6.556410222954582,-5.06797281827312,-1.322153529850766,-0.13075927877798676,-0.05224711005575955,-0.1289696202147752,-2.211837835260667,-48.58169116731733
11,8.0,6.0,-6.477599987003487,-5.656631164019927,-1.1856675946619362,-0.1534651005640626,-0.06860880582826212,-0.1266528534470126,-2.075585333921481,-48.732009932398796
11,8.0,6.2,-6.801472958177328,-5.150863124057651,-1.2226304438663647,-0.12911269254982471,-0.06581638642819598,-0.11573668930213898,-2.0766746913432144,-49.01254204334691
11,8.0,6.4,-6.989927388902288,-4.48138274543453,-1.2471924402052537,-0.11738704075105488,-0.0663196494570002,-0.10863076616078615,-2.0835358857293613,-48.46831768145785
11,8.2,6.0,-6.96010246622609,-5.656631164019927,-1.227201226633042,-0.14854416716843843,-0.06420243059983477,-0.12813754193484783,-2.122295923298225,-50.90743148000911
11,8.2,6.2,-7.127379061945248,-5.150863124057651,-1.2471924402052537,-0.1343862866051495,-0.06444715947145596,-0.11957579548470676,-2.1247413298115134,-50.57030549761839
11,8.2,6.4,-7.188033550861292,-4.48138274543453,-1.2601831522770226,-0.1092156054219231,-0.06055910751456395,-0.10659386869519949,-2.088796929572709,-49.26430909545161
11,8.4,6.2,-7.180586889735423,-5.150863124057651,-1.263605591841042,-0.12536018271930516,-0.058977782377041876,-0.11749120720196515,-2.1326567410724238,-50.80352586437948
11,8.4,6.4,-7.149785561545286,-4.48138274543453,-1.3025325470371172,-0.11452936008572578,-0.05966114072361961,-0.11087474203668535,-2.1441119360388257,-49.43287334241904
11,8.6,6.2,-7.049379568896256,-5.150863124057651,-1.3077722556190565,-0.13233307388145477,-0.058185864705592394,-0.1226229842286557,-2.178745467972476,-50.572426481870934
11,8.6,6.4,-6.956124680291396,-4.48138274543453,-1.3252095035277307,-0.11819025338627398,-0.05809487571241334,-0.11372991232201457,-2.1757503627450205,-48.83690450433642
11,8.8,6.2,-6.799489399243612,-5.150863124057651,-1.3252095035277307,-0.13580069423187524,-0.05639495118521154,-0.12513553409371525,-2.1989312096848153,-49.6932799522765
11,8.8,6.4,-6.666686320328154,-4.48138274543453,-1.3552935880143195,-0.111625243909657,-0.053658380173146725,-0.11287524388171732,-2.185646822967101,-47.74631973635405
12,8.0,6.0,-6.405428806785494,-5.687607567640953,-1.26319771038834,-0.16254768031649292,-0.07039783691288903,-0.12881525279954076,-2.1168936897302046,-48.855217756005004
12,8.0,6.2,-6.745165858417749,-5.15722356562037,-1.26914274005685,-0.14357303292490542,-0.06963039218680933,-0.11802208086010069,-2.098382144875359,-49.02863642084412
12,8.0,6.4,-6.947810800396837,-4.4815672332188115,-1.3016816434683278,-0.11938628752250224,-0.06636734021594748,-0.10727785457856953,-2.086328305245843,-48.42185182101093
12,8.2,6.0,-6.897644513344858,-5.687607567640953,-1.26914274005685,-0.16461720829829574,-0.0676091825007461,-0.13006525265518576,-2.1303908023401164,-50.88544353004545
12,8.2,6.2,-7.079081499716267,-5.15722356562037,-1.3040034306468442,-0.13714231050107628,-0.06459650688339025,-0.11818021337967366,-2.1279020978254266,-50.519419457996264
12,8.2,6.4,-7.152662067208439,-4.4815672332188115,-1.3369690409163013,-0.12537649797741324,-0.06535955908475444,-0.11155370774213225,-2.1397896471316926,-49.54217805340886
12,8.4,6.2,-7.141255190537777,-5.15722356562037,-1.3390122136333957,-0.14438754098955542,-0.06359751109266654,-0.12303839577361941,-2.1696302578784525,-51.025255270069465
12,8.4,6.4,-7.121764102485031,-4.4815672332188115,-1.3390122136333957,-0.12580696993973106,-0.06246109027415514,-0.11185742251109332,-2.14826542470837,-49.44645014847629
12,8.6,6.2,-7.0187131551792845,-5.15722356562037,-1.3491653254022822,-0.133788897190243,-0.0579524309723638,-0.12020581553224474,-2.1707422055187635,-50.51039837417193
12,8.6,6.4,-6.9347793002962135,-4.4815672332188115,-1.394064920837991,-0.12239080527797341,-0.05866653739940375,-0.1136213531717658,-2.177861934003886,-48.908519711811095
12,8.8,6.2,-6.776221955951769,-5.15722356562037,-1.402117129182443,-0.1421159547753632,-0.057259032502770424,-0.12578939960803837,-2.1905614812276326,-49.75066197710112
12,8.8,6.4,-6.650483384612016,-4.4815672332188115,-1.4277596977772191,-0.12791540345642716,-0.05746548331808299,-0.11749371723271906,-2.1923542773001827,-47.91068468429148
13,8.2,5.8,-6.497776316071395,-5.816845762426965,-1.3199672850314528,-0.19092995766550303,-0.06847326381830499,-0.14040034252684563,-2.138069642300252,-49.75356358406134
13,8.2,6.0,-6.828164096106775,-5.715718760737218,-1.3496146224206313,-0.1739708724198863,-0.06906626065028831,-0.13167920836713165,-2.1491025230498053,-50.92729844711721
13,8.2,6.2,-7.025160820572637,-5.163463524891995,-1.3629328947281465,-0.15467243001330644,-0.06884161208290607,-0.12175074510741979,-2.1502910269773565,-50.582813028013334
13,8.4,5.8,-6.837147529236972,-5.816845762426965,-1.3572275737533346,-0.20269200496841222,-0.06747740530408919,-0.14670054300222546,-2.158574786502868,-51.29973065247759
13,8.4,6.0,-7.019097818818409,-5.715718760737218,-1.3629328947281465,-0.1784977294737473,-0.06677459424827248,-0.1341528530465439,-2.16520505718654,-51.7869143569842
13,8.4,6.2,-7.097262974421028,-5.163463524891995,-1.3925174811156467,-0.14626003080047667,-0.06339545274386182,-0.12084085575770587,-2.16041590081295,-50.93046109704301
13,8.6,6.0,-6.991887102718465,-5.715718760737218,-1.402777269599028,-0.17105797096155584,-0.061915784201119095,-0.1342407043557614,-2.168924309022259,-51.7384981950745
