,R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E,i0,ip1,it1,it2,ip2,it3,it4
0,4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.4,-4.099186484294478,-0.870328759541735,-0.150166908162646,-1.1610516323707998,-1.2228720351704396,-0.2818561566527933,-0.2148117331089452,-0.1980992592871189
1,4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.6,-4.412448889343068,-1.4591075874632224,-0.129437742754817,-1.0342613544198684,-1.1568812010227703,-0.2539909475017339,-0.1969615838606842,-0.18180847231997177
2,4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.8,-4.1884340945398435,-1.5736156122293323,-0.1112813682993874,-0.8930057159159333,-1.0354341707425192,-0.22835088893771172,-0.1801681611686945,-0.1665781772462651
3,4.6,1.0,53.0,0.0,0.0,1.8,-0.2,11.0,-3.7202244104701094,-1.4589293745812029,-0.09558106807526201,-0.7534098413889296,-0.890512618701905,-0.20490460540167987,-0.16452872939407825,-0.15235817292705178
4,4.6,1.0,53.0,0.0,0.0,1.8,-0.2,11.2,-3.184770127409138,-1.258077228674665,-0.08211721351835877,-0.6262788253952749,-0.7456795457401313,-0.18348768900614232,-0.15002195321721956,-0.13910767185734585
5,4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.4,-3.8187164978589863,-0.6280408735619858,-0.12972514226567,-1.099558790156152,-1.2350576519966125,-0.3140009838389233,-0.22276730509474874,-0.1895657509448938
6,4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.6,-4.305455924069975,-1.3659976535709575,-0.11256023379974067,-0.9578162036486901,-1.2087191746104509,-0.28201930911745876,-0.20423128717811778,-0.17411206214455888
7,4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.8,-4.159051566151902,-1.545222039683722,-0.0975790600059554,-0.816143271047622,-1.1010635589482263,-0.2526982770068571,-0.18673317087814212,-0.15961218858137727
8,4.6,1.0,53.0,0.0,0.0,1.8,-0.4,11.0,-3.713183748361189,-1.4454002587590367,-0.08453438221476972,-0.6844653176958673,-0.9564513695077039,-0.22587473457679152,-0.17037775018252432,-0.1460799354244955
9,4.6,1.0,53.0,0.0,0.0,1.8,-0.4,11.2,-3.1820574016310275,-1.2456349603598937,-0.07297690294217318,-0.5682856062194332,-0.8049880257458426,-0.2014997360529378,-0.1552183636231348,-0.1334538066876121
10,4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.4,-4.269904345390387,-1.0265900447266176,-0.17487699689809233,-1.2009901339770295,-1.2009901339770295,-0.25335339759476483,-0.20655181910842657,-0.20655181910842657
11,4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.6,-4.463127224589698,-1.505253417766653,-0.1494088760809973,-1.100220813183114,-1.100220813183114,-0.22912021621596068,-0.1894515440799296,-0.1894515440799296
12,4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.8,-4.196363938041031,-1.582246384699829,-0.12779241148382425,-0.9663898728904314,-0.9663898728904314,-0.20668798871338367,-0.17342870368156582,-0.17342870368156582
