R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E_Z=1,E_Z=2,E_total
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.4,-4.099186,-4.396016,-8.495202
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.6,-4.412449,-4.50191,-8.914359
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,10.8,-4.188434,-4.202707,-8.391141000000001
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,11.0,-3.720224,-3.717168,-7.437392
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,11.2,-3.18477,-3.178264,-6.363034
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.4,-3.818716,-4.524405,-8.343121
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.6,-4.305456,-4.549611,-8.855067
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,10.8,-4.159052,-4.214318,-8.37337
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,11.0,-3.713184,-3.714416,-7.4276
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,11.2,-3.182057,-3.170354,-6.352411
4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.4,-4.269904,-4.269904,-8.539808
4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.6,-4.463127,-4.463127,-8.926254
4.6,1.0,53.0,0.0,0.0,1.8,0.0,10.8,-4.196364,-4.196365,-8.392729
4.6,1.0,53.0,0.0,0.0,1.8,0.0,11.0,-3.719643,-3.719643,-7.439286
4.6,1.0,53.0,0.0,0.0,1.8,0.0,11.2,-3.182954,-3.182954,-6.365908
4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.4,-4.396016,-4.099186,-8.495202
4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.6,-4.50191,-4.412449,-8.914359
4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.8,-4.202707,-4.188434,-8.391141000000001
4.6,1.0,53.0,0.0,0.0,1.8,0.2,11.0,-3.717168,-3.720224,-7.437392
4.6,1.0,53.0,0.0,0.0,1.8,0.2,11.2,-3.178264,-3.18477,-6.363034
4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.4,-4.524405,-3.818716,-8.343121
4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.6,-4.549611,-4.305456,-8.855067
4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.8,-4.214318,-4.159052,-8.37337
4.6,1.0,53.0,0.0,0.0,1.8,0.4,11.0,-3.714416,-3.713184,-7.4276
4.6,1.0,53.0,0.0,0.0,1.8,0.4,11.2,-3.170354,-3.182057,-6.352411
4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.4,-4.422477,-4.596404,-9.018881
4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.6,-4.519435,-4.55726,-9.076695
4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.8,-4.19958,-4.196137,-8.395717000000001
4.6,1.0,53.0,0.0,0.0,2.0,-0.2,11.0,-3.700224,-3.68889,-7.389113999999999
4.6,1.0,53.0,0.0,0.0,2.0,-0.2,11.2,-3.157938,-3.144153,-6.302091000000001
4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.4,-4.169928,-4.604316,-8.774244
4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.6,-4.424488,-4.545647,-8.970134999999999
4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.8,-4.166341,-4.176341,-8.342682
4.6,1.0,53.0,0.0,0.0,2.0,-0.4,11.0,-3.688536,-3.669528,-7.358064000000001
4.6,1.0,53.0,0.0,0.0,2.0,-0.4,11.2,-3.15541,-3.128928,-6.284338
4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.4,-4.548511,-4.548511,-9.097022
4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.6,-4.553858,-4.553858,-9.107716
4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.8,-4.205959,-4.205959,-8.411918
4.6,1.0,53.0,0.0,0.0,2.0,0.0,11.0,-3.700001,-3.700001,-7.400002
4.6,1.0,53.0,0.0,0.0,2.0,0.0,11.2,-3.153861,-3.153861,-6.307722
4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.4,-4.596405,-4.422478,-9.018882999999999
4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.6,-4.55726,-4.519435,-9.076695
4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.8,-4.196137,-4.19958,-8.395717000000001
4.6,1.0,53.0,0.0,0.0,2.0,0.2,11.0,-3.68889,-3.700224,-7.389113999999999
4.6,1.0,53.0,0.0,0.0,2.0,0.2,11.2,-3.144153,-3.157938,-6.302091000000001
4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.4,-4.604316,-4.169928,-8.774244
4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.6,-4.545647,-4.424488,-8.970134999999999
4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.8,-4.176341,-4.166341,-8.342682
4.6,1.0,53.0,0.0,0.0,2.0,0.4,11.0,-3.669528,-3.688536,-7.358064000000001
4.6,1.0,53.0,0.0,0.0,2.0,0.4,11.2,-3.128928,-3.15541,-6.284338
4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.4,-4.052507,-4.125433,-8.17794
4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.6,-4.222658,-4.223972,-8.446629999999999
4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.8,-3.988996,-3.972448,-7.961444
4.6,1.0,53.0,0.0,0.0,2.2,-0.2,11.0,-3.573988,-3.553983,-7.1279710000000005
4.6,1.0,53.0,0.0,0.0,2.2,-0.2,11.2,-3.087,-3.065838,-6.152838
4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.4,-3.826512,-4.032118,-7.85863
4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.6,-4.141316,-4.17111,-8.312425999999999
4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.8,-3.964068,-3.93906,-7.903128000000001
4.6,1.0,53.0,0.0,0.0,2.2,-0.4,11.0,-3.564451,-3.526282,-7.090733
4.6,1.0,53.0,0.0,0.0,2.2,-0.4,11.2,-3.086215,-3.044972,-6.131187000000001
4.6,1.0,53.0,0.0,0.0,2.2,0.0,10.4,-4.14373,-4.14373,-8.28746
4.6,1.0,53.0,0.0,0.0,2.2,0.0,10.6,-4.246233,-4.246233,-8.492466
4.6,1.0,53.0,0.0,0.0,2.2,0.0,10.8,-3.99066,-3.99066,-7.98132
4.6,1.0,53.0,0.0,0.0,2.2,0.0,11.0,-3.570519,-3.570519,-7.141038
4.6,1.0,53.0,0.0,0.0,2.2,0.0,11.2,-3.080316,-3.080316,-6.160632
4.6,1.0,53.0,0.0,0.0,2.2,0.2,10.4,-4.125433,-4.052507,-8.17794
4.6,1.0,53.0,0.0,0.0,2.2,0.2,10.6,-4.223972,-4.222658,-8.446629999999999
4.6,1.0,53.0,0.0,0.0,2.2,0.2,10.8,-3.972448,-3.988996,-7.961444
4.6,1.0,53.0,0.0,0.0,2.2,0.2,11.0,-3.553983,-3.573988,-7.1279710000000005
4.6,1.0,53.0,0.0,0.0,2.2,0.2,11.2,-3.065838,-3.087,-6.152838
4.6,1.0,53.0,0.0,0.0,2.2,0.4,10.4,-4.032118,-3.826512,-7.85863
4.6,1.0,53.0,0.0,0.0,2.2,0.4,10.6,-4.17111,-4.141316,-8.312425999999999
4.6,1.0,53.0,0.0,0.0,2.2,0.4,10.8,-3.93906,-3.964068,-7.903128000000001
4.6,1.0,53.0,0.0,0.0,2.2,0.4,11.0,-3.526282,-3.564451,-7.090733
4.6,1.0,53.0,0.0,0.0,2.2,0.4,11.2,-3.044972,-3.086215,-6.131187000000001
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,10.6,-1.699548,-2.775684,-4.475232
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,10.8,-3.831635,-4.412547,-8.244182
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,11.0,-4.579024,-4.856292,-9.435316
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,11.2,-4.56882,-4.697006,-9.265826
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,11.4,-4.201965,-4.271532,-8.473497
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,11.6,-3.700501,-3.74734,-7.447841
4.6,1.0,53.0,2.0,1.8,-0.2,1.2,11.8,-3.194181,-3.225573,-6.419753999999999
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,10.6,-2.508725,-3.738659,-6.247384
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,10.8,-4.34481,-4.986162,-9.330972
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,11.0,-4.932205,-5.223678,-10.155883
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,11.2,-4.827345,-4.94668,-9.774025
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,11.4,-4.402267,-4.450411,-8.852678000000001
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,11.6,-3.871784,-3.898511,-7.770295
4.6,1.0,53.0,2.0,1.8,-0.2,1.4,11.8,-3.348572,-3.368226,-6.716798
4.6,1.0,53.0,2.0,1.8,-0.2,1.6,10.6,-2.686475,-3.77948,-6.465955
4.6,1.0,53.0,2.0,1.8,-0.2,1.6,10.8,-4.484149,-4.973916,-9.458065000000001
4.6,1.0,53.0,2.0,1.8,-0.2,1.6,11.0,-5.042652,-5.197908,-10.24056
