,Ra,Rb,R3,V
0,-3.7,-2.9,9.339621514039646,490.4707480873286
1,-3.7,-2.8,9.335068192744107,488.9523258403598
2,-3.7,-2.7,9.325812266075804,487.2304012606013
3,-3.7,-2.6,9.311791980478663,485.3023020011893
4,-3.7,-2.5,9.292911714249803,483.1638900921989
5,-3.7,-2.4,9.26903860270097,480.80941589659665
6,-3.7,-2.3,9.239997600642848,478.2313044423094
7,-3.7,-2.2,9.205564528843336,475.4198545120163
8,-3.7,-2.1,9.165456407161598,472.3628203155163
9,-3.7,-2.0,9.2275835925624,473.7299556666604
10,-3.7,-1.9,9.287260964396973,474.9910768541422
11,-3.7,-1.8,9.340620444475938,475.9787951917856
12,-3.7,-1.7,9.38812370975784,476.7130894638201
13,-3.7,-1.6,9.608945440229345,484.9476328926081
14,-3.7,-1.5,9.90735832636425,496.5398854910414
15,-3.7,-1.4,10.120824181965851,504.4561079940711
16,-3.7,-1.3,10.292062222721047,510.5449479827979
17,-3.7,-1.2,10.436227811628003,515.4622443975385
18,-3.7,-1.1,10.56082751756836,519.5328393540079
19,-3.7,-1.0,10.670238773269903,522.9461635403293
20,-3.7,-0.9,10.767280401938606,525.8241997836093
21,-3.7,-0.8,10.853893022095075,528.2509271475146
22,-3.7,-0.7,10.931478157659399,530.2869957110101
23,-3.7,-0.6,11.001084683125663,531.9777948677256
24,-3.7,-0.5,11.06351909294279,533.3582251650658
25,-3.7,-0.4,11.119414502985558,534.4556843001008
26,-3.7,-0.3,11.169275805872505,535.2920211879609
27,-3.7,-0.2,11.213510308477744,535.884861781171
28,-3.7,-0.1,11.252449138501817,536.2485354257361
29,-3.7,0.1,11.315471136983813,536.3330131682625
30,-3.7,0.2,11.339953981606872,536.071113004547
31,-3.7,0.3,11.35995489815853,535.6152601814806
32,-3.7,0.4,11.375586964440306,534.9703480708373
33,-3.7,0.5,11.386935919001612,534.1400869552014
34,-3.7,0.6,11.394062605077238,533.1271097878472
35,-3.7,0.7,11.397004640661514,531.9330444641636
36,-3.7,0.8,11.395777424644491,530.5585573615729
37,-3.7,0.9,11.390374542880089,529.0033709118791
38,-3.7,1.0,11.38076759945325,527.2662562994583
39,-3.7,1.1,11.366905462682803,525.3450008324994
40,-3.7,1.2,11.348712878482251,523.2363479370525
41,-3.7,1.3,11.326088361330568,520.935905890097
42,-3.7,1.4,11.298901219999175,518.4380191097197
43,-3.7,1.5,11.266987503978587,515.7355927392404
44,-3.7,1.6,11.230144556132707,512.8198569167033
45,-3.7,1.7,11.188123709757841,509.6800507446319
46,-3.7,1.8,11.140620444475939,506.30299629241057
47,-3.7,1.9,11.087260964396974,502.67251777458034
48,-3.7,2.0,11.0275835925624,498.76863640691164
49,-3.7,2.1,10.965456407161598,494.7587408755807
50,-3.7,2.2,11.005564528843337,495.1730148918939
51,-3.7,2.3,11.039997600642849,495.3417046420002
52,-3.7,2.4,11.06903860270097,495.2770559161006
53,-3.7,2.5,11.092911714249803,494.98876993151595
54,-3.7,2.6,11.111791980478664,494.4844216603195
55,-3.7,2.7,11.125812266075805,493.76976073954467
56,-3.7,2.8,11.135068192744107,492.8489251391163
57,-3.7,2.9,11.139621514039646,491.7245872058983
58,-3.6,-2.9,9.35981816831659,490.04787029025823
59,-3.6,-2.8,9.355307461172153,488.53129214426576
60,-3.6,-2.7,9.346138714019297,486.81314020400356
61,-3.6,-2.6,9.332251915289946,484.89081750605885
62,-3.6,-2.5,9.313554189009569,482.7603049001991
63,-3.6,-2.4,9.289916582481048,480.4160220383828
64,-3.6,-2.3,9.261169374681458,477.8506243485372
65,-3.6,-2.2,9.227095484084275,475.0547177621512
66,-3.6,-2.1,9.187421330442815,472.01646326361697
67,-3.6,-2.0,9.226573630808375,472.38937470489907
68,-3.6,-1.9,9.286279854778146,473.6517444506487
69,-3.6,-1.8,9.339663771025744,474.640520248344
70,-3.6,-1.7,9.387187788415908,475.37571255500114
71,-3.6,-1.6,9.605584694251167,483.5053232005836
72,-3.6,-1.5,9.90510296574298,495.1454106652094
73,-3.6,-1.4,10.118998102149721,503.08021002900944
74,-3.6,-1.3,10.29047796366746,509.17951466135264
75,-3.6,-1.2,10.434802442134924,514.103686923343
76,-3.6,-1.1,10.559515835391847,518.1792016279726
77,-3.6,-1.0,10.669012939712214,521.5962408600636
78,-3.6,-0.9,10.766121820716002,524.4771874064609
79,-3.6,-0.8,10.852788522485172,526.9062551186356
80,-3.6,-0.7,10.930417986736375,528.9442419785805
81,-3.6,-0.6,11.000061358597172,530.6366356401817
82,-3.6,-0.5,11.062526704648578,532.0184046838857
83,-3.6,-0.4,11.118448265438815,533.116995476309
84,-3.6,-0.3,11.168331759402434,533.9542926692578
85,-3.6,-0.2,11.21258511245422,534.5479490038587
86,-3.6,-0.1,11.251539923813068,534.9123142307807
87,-3.6,0.1,11.314586649572353,534.9978620309055
88,-3.6,0.2,11.339078741256127,534.7363620280111
89,-3.6,0.3,11.359087069756221,534.2808299524193
90,-3.6,0.4,11.374724842135949,533.6361647696282
91,-3.6,0.5,11.386077892552622,532.8060808995946
92,-3.6,0.6,11.393207130823185,531.7932141768945
93,-3.6,0.7,11.3961502155805,530.5991942555238
94,-3.6,0.8,11.394922562233308,529.2246882277411
95,-3.6,0.9,11.389517749763197,527.6694182279545
96,-3.6,1.0,11.37990735168941,525.9321541178281
97,-3.6,1.1,11.366040180711877,524.0106807986779
98,-3.6,1.2,11.347840899534232,521.9017380956982
99,-3.6,1.3,11.325207907886476,519.6009293201778
100,-3.6,1.4,11.29801036251293,517.1025923113247
101,-3.6,1.5,11.266084115477021,514.3996236689242
102,-3.6,1.6,11.229226255401645,511.4832425288984
103,-3.6,1.7,11.187187788415908,508.342673835813
104,-3.6,1.8,11.139663771025745,504.964721348969
105,-3.6,1.9,11.086279854778146,501.33318537108687
106,-3.6,2.0,11.026573630808375,497.4280554451504
107,-3.6,2.1,10.987421330442816,494.4123838236814
108,-3.6,2.2,11.027095484084276,494.8078781420288
109,-3.6,2.3,11.061169374681459,494.961024548228
110,-3.6,2.4,11.089916582481049,494.88366205788674
111,-3.6,2.5,11.11355418900957,494.5851847395162
112,-3.6,2.6,11.132251915289947,494.07293716518905
113,-3.6,2.7,11.146138714019298,493.3524996829469
114,-3.6,2.8,11.155307461172153,492.42789144302225
115,-3.6,2.9,11.15981816831659,491.301709408828
116,-3.5,-2.9,9.405113254857547,490.71111159318144
117,-3.5,-2.8,9.40069527495141,489.19854616095324
118,-3.5,-2.7,9.391716173885442,487.48860103755675
119,-3.5,-2.6,9.378119614468304,485.57883826595514
120,-3.5,-2.5,9.359818504458627,483.4654889833837
121,-3.5,-2.4,9.336692115605917,481.1433287496308
122,-3.5,-2.3,9.40683390222356,482.85729100091265
123,-3.5,-2.2,9.417587464273407,482.0012646433729
124,-3.5,-2.1,9.430240972981938,481.2274572998839
125,-3.5,-2.0,9.455361058663986,480.9931333480285
126,-3.5,-1.9,9.471793245430241,480.3828459554293
127,-3.5,-1.8,9.479886516337798,479.4116971475791
128,-3.5,-1.7,9.479805848568027,478.0868262097474
129,-3.5,-1.6,9.585442216319478,481.3367944597377
130,-3.5,-1.5,9.891731031382763,493.26987300097574
131,-3.5,-1.4,10.10820375083562,501.31621567348753
132,-3.5,-1.3,10.281126188374241,507.47794688901297
133,-3.5,-1.2,10.426395398585493,512.4430018316627
134,-3.5,-1.1,10.55178340884788,516.54771016907
135,-3.5,-1.0,10.661789254510518,519.9867648674254
136,-3.5,-0.9,10.75929629350251,522.8849414539804
137,-3.5,-0.8,10.846282948897077,525.327854960984
138,-3.5,-0.7,10.924174522446114,527.377184438335
139,-3.5,-0.6,10.994035666725583,529.0790020663769
140,-3.5,-0.5,11.056683790208439,530.4686806901399
141,-3.5,-0.4,11.11275981047191,531.573955620532
142,-3.5,-0.3,11.162774345095706,532.4169235168299
143,-3.5,-0.2,11.207138990199912,533.0153959460193
144,-3.5,-0.1,11.24618813913757,533.3838435731932
145,-3.5,0.1,11.309380802424174,533.4757067293593
146,-3.5,0.2,11.333927460853314,533.2165680685496
147,-3.5,0.3,11.353979523908196,532.7629285787092
148,-3.5,0.4,11.369650963452695,532.1197203216063
149,-3.5,0.5,11.38102817923549,531.2906821928137
150,-3.5,0.6,11.38817247490944,530.2784670699126
151,-3.5,0.7,11.39112174946652,529.0847150082901
152,-3.5,0.8,11.389891516012025,527.7100973279631
153,-3.5,0.9,11.384475312882762,526.1543344044617
154,-3.5,1.0,11.374844532819333,524.4161882763666
155,-3.5,1.1,11.36094765954618,522.4934296087831
156,-3.5,1.2,11.342708863545365,520.3827769263224
157,-3.5,1.3,11.32002586566187,518.0798041619446
158,-3.5,1.4,11.29276692304231,515.5788102253248
159,-3.5,1.5,11.260766719237012,512.8726411495682
160,-3.5,1.6,11.223820837670518,509.95245093407067
161,-3.5,1.7,11.181678346874044,506.8073806750506
162,-3.5,1.8,11.134031796509433,503.42412564968436
163,-3.5,1.9,11.080503562781182,499.7863444222763
164,-3.5,2.0,11.02062689594947,495.87383868713124
165,-3.5,2.1,11.036549187962256,495.24148591511295
166,-3.5,2.2,11.075285586257383,495.59639945207687
167,-3.5,2.3,11.108581891568956,495.7158963369956
168,-3.5,2.4,11.13669211560592,495.61096876913484
169,-3.5,2.5,11.159818504458627,495.29036882270077
170,-3.5,2.6,11.178119614468304,494.7609579250854
171,-3.5,2.7,11.191716173885442,494.0279605165001
172,-3.5,2.8,11.20069527495141,493.0951454597097
173,-3.5,2.9,11.205113254857547,491.96495071175116
174,-3.4,-2.9,9.450497987167521,491.37823226119565
175,-3.4,-2.8,9.631721991820903,497.89920864822716
176,-3.4,-2.7,9.738908311613857,501.2162501121394
177,-3.4,-2.6,9.81208323662354,503.0614695473705
178,-3.4,-2.5,9.862565715984664,503.9246874621399
179,-3.4,-2.4,9.895296734069614,504.0197218926966
180,-3.4,-2.3,9.912716804980398,503.45218457415245
181,-3.4,-2.2,9.915940179194777,502.2702940053103
182,-3.4,-2.1,9.905160817957942,500.48244373883676
183,-3.4,-2.0,9.87971551174941,498.05993379379623
184,-3.4,-1.9,9.837858956800439,494.9272372313512
185,-3.4,-1.8,9.776041446215856,490.93074268575293
186,-3.4,-1.7,9.686757837035938,485.7456697471737
187,-3.4,-1.6,9.667233708189514,483.57939508248006
188,-3.4,-1.5,9.86672976709696,490.8910832921744
189,-3.4,-1.4,10.088174940159004,499.15260581265284
190,-3.4,-1.3,10.263834851890435,505.43279952716125
191,-3.4,-1.2,10.410882121737794,510.4747988985064
192,-3.4,-1.1,10.537533540514094,514.6341804562813
193,-3.4,-1.0,10.64848900188386,518.1143291857826
194,-3.4,-0.9,10.746737492830857,521.0445916461317
195,-3.4,-0.8,10.834318921347753,523.5132435913587
196,-3.4,-0.7,10.91269707946605,525.5836297143549
197,-3.4,-0.6,10.982962068064275,527.3029234549847
198,-3.4,-0.5,11.045948848274968,528.7072572387423
199,-3.4,-0.4,11.102310855795189,529.8249080904128
200,-3.4,-0.3,11.152567876611197,530.6783694263836
201,-3.4,-0.2,11.19713836510512,531.2857496006794
202,-3.4,-0.1,11.236361929305364,531.6617449402376
203,-3.4,0.1,11.299824285176035,531.7652788758213
204,-3.4,0.2,11.32447174537229,531.5105023490057
205,-3.4,0.3,11.344604585232403,531.0603584253455
206,-3.4,0.4,11.360338198592398,530.4198407015723
207,-3.4,0.5,11.371760036381506,529.5927335624459
208,-3.4,0.6,11.378932134005044,528.5817215516811
209,-3.4,0.7,11.38189283695781,527.3884640467987
210,-3.4,0.8,11.380657839811718,526.0136402206704
211,-3.4,0.9,11.375220605409229,524.4569671818554
212,-3.4,1.0,11.36555219068599,522.7171924371834
213,-3.4,1.1,11.35160046818162,520.7920602031149
214,-3.4,1.2,11.333288693678567,518.6782494212026
215,-3.4,1.3,11.31051332600667,516.3712794114834
216,-3.4,1.4,11.283140949252608,513.8653766830006
217,-3.4,1.5,11.251004072565713,511.15329317300376
218,-3.4,1.6,11.213895476546838,508.2260615904314
219,-3.4,1.7,11.171560618776446,505.0726667698458
220,-3.4,1.8,11.123687372534123,501.6796016208797
221,-3.4,1.9,11.069891996928902,498.03025999432265
222,-3.4,2.0,11.036173538286988,495.249734505501
223,-3.4,2.1,11.079724524648382,495.8129963569082
224,-3.4,2.2,11.117672322954853,496.1337837181443
225,-3.4,2.3,11.150313225924874,496.2249184729565
226,-3.4,2.4,11.177885558428647,496.0967139823869
227,-3.4,2.5,11.200579614102146,495.7574050855866
228,-3.4,2.6,11.218544917631496,495.21346237067087
229,-3.4,2.7,11.23189552274091,494.4698214418635
230,-3.4,2.8,11.24071381650463,493.53004754873814
231,-3.4,2.9,11.245053141877547,492.39644907460524
232,-3.3,-2.9,9.912861480504855,510.0898503655235
233,-3.3,-2.8,9.995201385277312,512.3316786194528
234,-3.3,-2.7,10.058268066237211,513.7394700586092
235,-3.3,-2.6,10.10608280938506,514.4872433422357
236,-3.3,-2.5,10.140966811213527,514.6754468098545
237,-3.3,-2.4,10.164320426939415,514.3646799655202
238,-3.3,-2.3,10.176968575761492,513.590640676267
239,-3.3,-2.2,10.17932498222887,512.3712326155277
240,-3.3,-2.1,10.171464331309489,510.70968772899937
241,-3.3,-2.0,10.153134592103834,508.5950995357166
242,-3.3,-1.9,10.123714576322783,506.00058649748576
243,-3.3,-1.8,10.082098734835942,502.878306660918
244,-3.3,-1.7,10.02645279935373,499.14888320267767
245,-3.3,-1.6,9.953686685785936,494.67859464902244
246,-3.3,-1.5,9.85816946914629,489.22376621126887
247,-3.3,-1.4,10.058388890663538,496.5667574895559
248,-3.3,-1.3,10.23827212308058,503.0297127890824
249,-3.3,-1.2,10.388024830232055,508.188788282909
250,-3.3,-1.1,10.516582856715047,512.4306771074587
251,-3.3,-1.0,10.628963594375845,515.9725037850553
252,-3.3,-0.9,10.728320637932104,518.9507381724796
253,-3.3,-0.8,10.816788768557174,521.4577616018518
254,-3.3,-0.7,10.895890739444615,523.5594702738072
255,-3.3,-0.6,10.966755417429708,525.3047152009609
256,-3.3,-0.5,11.030244384413546,526.7307808060665
257,-3.3,-0.4,11.087029993939051,527.8667627719634
258,-3.3,-0.3,11.137645847251271,528.7357523618002
259,-3.3,-0.2,11.182520707996021,529.356304056598
260,-3.3,-0.1,11.222002006995254,529.743452709836
261,-3.3,0.1,11.285862596867585,529.8642199750126
262,-3.3,0.2,11.310658813647304,529.6158807971458
263,-3.3,0.3,11.33091082399717,529.1708939025667
264,-3.3,0.4,11.346736141984252,528.5343446396913
265,-3.3,0.5,11.358223784921073,527.7100851775456
266,-3.3,0.6,11.36543687810203,526.7008472241188
267,-3.3,0.7,11.368414431843318,525.5083189266653
268,-3.3,0.8,11.367172410865695,524.1331911485809
269,-3.3,0.9,11.361704165626673,522.5751761350358
270,-3.3,1.0,11.35198025310823,520.8329997576742
271,-3.3,1.1,11.337947635671712,518.9043668455566
272,-3.3,1.2,11.319528206375836,516.7858973692103
273,-3.3,1.3,11.296616542843909,514.4730292406256
274,-3.3,1.4,11.269076733432971,511.9598809676927
275,-3.3,1.5,11.236738040777425,509.23906399673984
276,-3.3,1.6,11.199389056085122,506.30142974331994
277,-3.3,1.7,11.156769832489243,503.13572916788877
278,-3.3,1.8,11.108561233144757,499.7281518212814
279,-3.3,1.9,11.05437033005887,496.06169398815007
280,-3.3,2.0,11.074548229031093,495.6134999696383
281,-3.3,2.1,11.117311047548498,496.14265434611025
282,-3.3,2.2,11.154597791960674,496.43483500979784
283,-3.3,2.3,11.186688260422411,496.50215005242836
284,-3.3,2.4,11.213808155866415,496.35436662852175
285,-3.3,2.5,11.236138114792112,495.99930167063064
286,-3.3,2.6,11.25382034007044,495.4431089198564
287,-3.3,2.7,11.266963460095088,494.6904892026069
288,-3.3,2.8,11.457404016988246,501.61030617531367
289,-3.3,2.9,11.609907677834205,506.8884274852035
290,-3.2,-2.9,10.16681435338069,519.7826280441366
291,-3.2,-2.8,10.229083656261151,521.1559134411273
292,-3.2,-2.7,10.278594413510241,521.9770806837804
293,-3.2,-2.6,10.31704027319908,522.3194213426357
294,-3.2,-2.5,10.3455331939603,522.2310547383183
295,-3.2,-2.4,10.364802092353482,521.7435242831552
296,-3.2,-2.3,10.375299685778863,520.8764210420434
297,-3.2,-2.2,10.3772600957973,519.6398764804183
298,-3.2,-2.1,10.37072611073787,518.0357422367
299,-3.2,-2.0,10.355553986063542,516.0577978551429
300,-3.2,-1.9,10.331397095627437,513.6910433040825
301,-3.2,-1.8,10.297663869980527,510.9098787822724
302,-3.2,-1.7,10.253437119918491,507.67461349537757
303,-3.2,-1.6,10.197325601566721,503.9250422270295
304,-3.2,-1.5,10.127180380081544,499.56817115379727
305,-3.2,-1.4,10.03950232155928,494.4525774247935
306,-3.2,-1.3,10.20391242614,500.2459427075854
307,-3.2,-1.2,10.357453334403832,505.56895025658855
308,-3.2,-1.1,10.488648987064247,509.924980719142
309,-3.2,-1.0,10.60298595497278,513.5514620482205
310,-3.2,-0.9,10.703856084941753,516.5951743123306
311,-3.2,-0.8,10.79352953386643,519.1543571440512
312,-3.2,-0.7,10.873612315242589,521.2985097819908
313,-3.2,-0.6,10.945287604559535,523.0788334121064
314,-3.2,-0.5,11.009454045088077,524.5342162649549
315,-3.2,-0.4,11.066810195419711,525.6948880306107
316,-3.2,-0.3,11.117908714997828,526.5847647039434
317,-3.2,-0.2,11.163192540655569,527.2230141018707
318,-3.2,-0.1,11.20301982739199,527.6251351599894
319,-3.2,0.1,11.267414461658802,527.7690128653317
320,-3.2,0.2,11.292409997269457,527.529299086334
