,Ra,Rb,R3,V
0,-3.7,-2.9,9.039621514039645,491.5150222191589
1,-3.7,-2.8,9.035068192744106,491.3179800622835
2,-3.7,-2.7,9.025812266075803,490.9174355726184
3,-3.7,-2.6,9.011791980478662,490.3107164032998
4,-3.7,-2.5,8.992911714249804,489.4936845844029
5,-3.7,-2.4,8.96903860270097,488.460590478894
6,-3.7,-2.3,8.939997600642847,487.2038591147002
7,-3.7,-2.2,8.905564528843335,485.7137892745005
8,-3.7,-2.1,8.865456407161599,483.97813516809396
9,-3.7,-2.0,8.9275835925624,486.66665060933144
10,-3.7,-1.9,8.987260964396974,489.24915188690676
11,-3.7,-1.8,9.040620444475937,491.5582503146435
12,-3.7,-1.7,9.088123709757841,493.6139246767715
13,-3.7,-1.6,9.130144556132706,495.43235075874935
14,-3.7,-1.5,9.166987503978586,497.026706491193
15,-3.7,-1.4,9.198901219999176,498.40775277157894
16,-3.7,-1.3,9.226088361330568,499.5842594618629
17,-3.7,-1.2,9.248712878482252,500.563321418725
18,-3.7,-1.1,9.266905462682804,501.3505942240784
19,-3.7,-1.0,9.280767599453249,501.95046960094373
20,-3.7,-0.9,9.290374542880087,502.3662041232712
21,-3.7,-0.8,9.295777424644491,502.6000104828716
22,-3.7,-0.7,9.297004640661513,502.6531174953688
23,-3.7,-0.6,9.294062605077237,502.5258027289591
24,-3.7,-0.5,9.28693591900161,502.21739980621976
25,-3.7,-0.4,9.275586964440304,501.7262808317622
26,-3.7,-0.3,9.25995489815853,501.0498128523122
27,-3.7,-0.2,9.23995398160687,500.1842855852851
28,-3.7,-0.1,9.215471136983812,499.1248056589071
29,-3.7,0.1,9.215471136983812,499.1248056589071
30,-3.7,0.2,9.23995398160687,500.1842855852851
31,-3.7,0.3,9.25995489815853,501.0498128523122
32,-3.7,0.4,9.275586964440304,501.7262808317622
33,-3.7,0.5,9.28693591900161,502.21739980621976
34,-3.7,0.6,9.294062605077237,502.5258027289591
35,-3.7,0.7,9.297004640661513,502.6531174953688
36,-3.7,0.8,9.295777424644491,502.6000104828716
37,-3.7,0.9,9.290374542880087,502.3662041232712
38,-3.7,1.0,9.280767599453249,501.95046960094373
39,-3.7,1.1,9.266905462682804,501.3505942240784
40,-3.7,1.2,9.248712878482252,500.563321418725
41,-3.7,1.3,9.226088361330568,499.5842594618629
42,-3.7,1.4,9.198901219999176,498.40775277157894
43,-3.7,1.5,9.166987503978586,497.026706491193
44,-3.7,1.6,9.130144556132706,495.43235075874935
45,-3.7,1.7,9.088123709757841,493.6139246767715
46,-3.7,1.8,9.040620444475937,491.5582503146435
47,-3.7,1.9,8.987260964396974,489.24915188690676
48,-3.7,2.0,8.9275835925624,486.66665060933144
49,-3.7,2.1,8.865456407161599,483.97813516809396
50,-3.7,2.2,8.905564528843335,485.7137892745005
51,-3.7,2.3,8.939997600642847,487.2038591147002
52,-3.7,2.4,8.96903860270097,488.460590478894
53,-3.7,2.5,8.992911714249804,489.4936845844029
54,-3.7,2.6,9.011791980478662,490.3107164032998
55,-3.7,2.7,9.025812266075803,490.9174355726184
56,-3.7,2.8,9.035068192744106,491.3179800622835
57,-3.7,2.9,9.039621514039645,491.5150222191589
58,-3.6,-2.9,9.059818168316589,489.67737115717307
59,-3.6,-2.8,9.055307461172152,489.482173101274
60,-3.6,-2.7,9.046138714019296,489.0854012511052
61,-3.6,-2.6,9.032251915289947,488.484458643254
62,-3.6,-2.5,9.013554189009568,487.67532612748766
63,-3.6,-2.4,8.99566108385767,486.901013092345
64,-3.6,-2.3,9.072309221338802,490.21791373464356
65,-3.6,-2.2,9.131070813001827,492.76078519290377
66,-3.6,-2.1,9.175368785362934,494.67775249055336
67,-3.6,-2.0,9.207218513155627,496.05602972003754
68,-3.6,-1.9,9.227840225410386,496.9484215363415
