A1,A2,A3,a,b,Ra,R3,V
33,10,-34,8.4,6,-1.6,9.054752634,456.3595328
33,10,-34,8.6,6,-1.8,8.966172355,462.6544935
33,10,-34,8.8,6,-2,8.945571859,472.3261941
33,10,-34,9,6,-2.1,8.867619423,478.8514488
33,10,-34,8.4,6.2,-1.6,8.983336513,467.8521656
33,10,-34,8.6,6.2,-1.8,8.945571859,476.9778915
33,10,-34,8.8,6.2,-1.9,8.891261064,485.1072036
33,10,-34,9,6.2,-2.1,8.788384378,490.3918483
33,10,-34,8.4,5.8,-1.7,9.085133194,442.6276892
33,10,-34,8.4,5.6,-1.7,9.092824663,427.7264722
33,11,-34,8,6.4,-1.3,9.00496828,461.0543759
33,11,-34,8.2,6.4,-1.4,8.996127503,472.1167714
33,11,-34,8.4,6.4,-1.6,8.910504929,479.028745
33,11,-34,8.6,6.4,-1.8,8.854257522,487.338334
33,11,-34,8.8,6.4,-1.9,8.814903688,496.4553757
33,11,-34,8,6.2,-1.3,9.072028816,449.9726293
33,11,-34,8.2,6.2,-1.5,9.00496828,457.8125874
33,11,-34,8.4,6.2,-1.6,8.989817636,468.1897025
33,11,-34,8.6,6.2,-1.8,8.898398072,474.4625852
33,11,-34,8.8,6.2,-2,8.854257522,483.0882904
33,11,-34,8,6,-1.4,9.132814514,438.3750967
33,11,-34,8.2,6,-1.5,9.060910932,445.7968179
33,12,-35,8,6.4,-1.3,9.001820128,460.8931905
33,12,-35,8.2,6.4,-1.5,8.917067055,467.967679
33,12,-35,8.4,6.4,-1.7,8.911136323,479.0626887
33,12,-35,8.6,6.4,-1.8,8.822439473,485.5870686
33,12,-35,8.8,6.4,-2,8.745141753,492.5263835
33,12,-35,8,6.2,-1.4,9.049307532,448.8456536
33,12,-35,8.2,6.2,-1.5,8.996948659,457.4048698
33,12,-35,8.4,6.2,-1.7,8.911136323,464.0919797
33,12,-35,8.6,6.2,-1.8,8.906480844,474.8935586
33,12,-35,8.8,6.2,-2,8.805462199,480.4260176
33,12,-35,8,6,-1.4,9.068579804,435.2918306
33,12,-35,8.2,6,-1.6,9.049307532,445.2259306
33,13,-36,8.2,6.2,-1.6,8.952293453,455.1345992
33,13,-36,8.4,6.2,-1.7,8.915519913,464.3202771
33,13,-36,8.6,6.2,-1.9,8.815716679,470.0540133
33,13,-36,8.8,6.2,-2.1,8.800135271,480.1353804
33,13,-36,8.2,6,-1.6,8.991057665,442.3600371
33,13,-36,8.4,6,-1.8,8.952293453,451.1955901
33,13,-36,8.6,6,-1.9,8.895438067,459.0046042
33,13,-36,8.8,6,-2.1,8.866103771,468.1302791
33,13,-36,8.2,5.8,-1.6,9.05862797,430.8283463
33,13,-36,8.4,5.8,-1.8,8.96993286,437.015129
33,14,-37,8.2,6.2,-1.6,8.925470216,453.7709058
33,14,-37,8.4,6.2,-1.8,8.838316546,460.2995257
33,14,-37,8.6,6.2,-1.9,8.832025864,470.9236191
33,14,-37,8.8,6.2,-2.1,8.815196276,480.9571088
33,14,-37,8.2,6,-1.7,8.979646702,441.7986177
33,14,-37,8.4,6,-1.8,8.927886501,449.9654796
33,14,-37,8.6,6,-2,8.911975984,459.8579608
33,14,-37,8.8,6,-2.2,8.89016251,469.4005805
33,14,-37,8.2,5.8,-1.7,9.013443802,428.6793872
33,14,-37,8.4,5.8,-1.9,8.998272402,438.3958314
33,15,-38,8.2,6.4,-1.6,8.850868796,464.4935944
33,15,-38,8.4,6.4,-1.8,8.772694062,471.6200328
33,15,-38,8.6,6.4,-2,8.755586785,481.9074967
33,15,-38,8.8,6.4,-2.2,8.731842661,491.7773787
33,15,-38,8.2,6.2,-1.7,8.878446495,451.3802198
33,15,-38,8.4,6.2,-1.9,8.862417655,461.5547115
33,15,-38,8.6,6.2,-2.1,8.86178814,472.5105436
33,15,-38,8.8,6.2,-2.2,8.840206117,482.3216458
33,15,-38,8.2,6,-1.7,8.972390712,441.441623
33,15,-38,8.4,6,-1.9,8.957211435,451.4434563
33,15,-38,8.2,5.8,-1.8,9.04181192,430.0285749
33,15,-38,8.4,5.8,-2,9.02177023,439.5406456
33,16,-39,8.2,6.4,-1.7,8.820533225,462.9015836
33,16,-39,8.4,6.4,-1.9,8.804382056,473.3235793
33,16,-39,8.6,6.4,-2.1,8.781707204,483.3451645
33,16,-39,8.8,6.4,-2.3,8.752220556,492.9250617
33,16,-39,8.2,6.2,-1.8,8.908912063,452.9290893
33,16,-39,8.4,6.2,-2,8.887652394,462.8689367
33,16,-39,8.6,6.2,-2.2,8.871865226,473.0478538
33,16,-39,8.8,6.2,-2.3,8.860062499,483.40501
33,16,-39,8.2,6,-1.9,8.997546875,442.6793063
33,16,-39,8.4,6,-2,8.981643652,452.67484
33,16,-39,8.2,5.8,-1.9,9.065500531,431.1552052
33,16,-39,8.4,5.8,-2.1,9.040596139,440.4578439
