R1,R2,heri,E_t,E_p,E
4.4,0.7,48.0,-8.902205128048081,45.915952131617814,56.223083751043305
4.7,0.9,48.0,-9.79317331907805,-1.0463453145930544,-41.26538390549831
4.4,1.1,48.0,-10.24394450004911,-4.030957322334871,-49.03769264486618
4.7,0.8,48.0,-9.637310502643231,6.201283488771878,-26.14667503302917
4.4,1.2,48.0,-10.448317604372278,-6.54213688056916,-54.87754417862743
4.7,0.7,48.0,-9.452565283630975,18.241765900864266,-1.3267293327953666
4.6,1.2,48.0,-10.529912729805801,-7.319500033627264,-56.75865098647773
4.8,1.2,48.0,-9.457486216968391,-7.231943563208915,-52.293831994291395
4.5,0.7,48.0,-9.59191517427098,34.88037050876301,31.393080320442095
4.7,1.0,48.0,-9.917161764809862,-5.108862624736503,-49.88637230871245
4.6,1.1,48.0,-10.443748703983147,-6.363177303690463,-54.50134942331351
4.5,0.8,48.0,-9.891427579859737,16.622456265380606,-6.320797788677737
4.6,0.9,48.0,-10.145983913971577,1.7096233846386895,-37.16468888660893
4.8,1.1,48.0,-9.416544954583514,-7.2800622851355,-52.22630438860506
4.6,0.8,48.0,-9.94243473012466,10.846094938344322,-18.077549043809995
4.5,0.9,48.0,-10.16337221604772,5.209299365407787,-30.234890133375302
4.6,0.7,48.0,-9.709189263056032,25.737129376851954,12.637501701479778
4.5,1.0,48.0,-10.398447502229828,-1.6249973860103637,-44.84378478094004
4.5,1.2,48.0,-10.72331633180147,-7.068758332636207,-57.030781992478296
4.6,1.0,48.0,-10.314598361030221,-3.620787920895964,-48.49996928591281
4.4,1.0,48.0,-9.973771324555855,0.9677898477530107,-37.9595056027174
4.5,1.1,48.0,-10.58763423707569,-5.4058430274017155,-53.16222300310619
4.8,0.7,48.0,-8.975264862296171,12.154315236140974,-11.592428976902738
4.7,1.1,48.0,-10.007592858572025,-6.967158188577741,-53.96468781144358
4.7,1.2,48.0,-10.063652091892436,-7.355040944879875,-54.964690257329494
4.4,0.8,48.0,-9.288373527058866,23.749541652738117,10.34558919724077
4.8,0.9,48.0,-9.250651390990242,-3.17996340082027,-43.36253236560151
4.8,1.0,48.0,-9.347716520249378,-6.16283344081603,-49.71653296262957
4.4,0.9,48.0,-9.650481309974566,9.606233069906011,-19.389459100086242
