R3t,R3p,Et1,Ep,Et2,E
-4.0,-4.0,-7.345278771826997,-6.200287002837285,-10.598829015507363,-48.28878958034329
-4.0,-3.9,-7.345278771826997,-6.281363804941066,-10.570415362773929,-48.394115879083984
-4.0,-3.8,-7.345278771826997,-6.357074141385965,-10.487597220344469,-48.37990026711486
-4.0,-3.7,-7.345278771826997,-6.427389146876521,-10.356606390385423,-48.25854861817788
-4.0,-3.6,-7.345278771826997,-6.492380357580259,-10.186927686387207,-48.04917363158893
-4.0,-3.5,-7.345278771826997,-6.552401689114049,-9.990651971078478,-47.77666486403905
-4.0,-3.4,-7.345278771826997,-6.607975229737349,-9.781141442246735,-47.46879088762216
-4.0,-3.3,-7.345278771826997,-6.659707154030912,-9.571457093290519,-47.152886038296856
-4.0,-3.2,-7.345278771826997,-6.7084458557656035,-9.374034289561678,-46.85551783430856
-4.0,-3.1,-7.345278771826997,-6.755330892978236,-9.199228828947525,-46.59967698750552
-4.0,-3.0,-7.345278771826997,-6.801658701268025,-9.055682778940536,-46.40524050407112
-4.0,-2.9,-7.345278771826997,-6.848989270394668,-8.950355225300882,-46.289246535045095
-4.0,-2.8,-7.345278771826997,-6.899010602734052,-8.886867528781295,-46.26231380668469
-4.0,-2.7,-7.345278771826997,-6.9532575871562585,-8.866761480632704,-46.33059567923192
-4.0,-2.6,-7.345278771826997,-7.012943828245625,-8.888738135923631,-46.49392147199251
-4.0,-2.5,-7.345278771826997,-7.078736996627413,-8.949147896026261,-46.74632732896134
-4.0,-2.4,-7.345278771826997,-7.1506032071774825,-9.042935540725011,-47.07763503945898
-4.0,-2.3,-7.345278771826997,-7.227822077577002,-9.161971050139982,-47.470143799087964
-4.0,-2.2,-7.345278771826997,-7.30904697207734,-9.296540569746867,-47.90173262730241
-4.0,-2.1,-7.345278771826997,-7.3923614748055115,-9.434977433353197,-48.34523535997141
-4.0,-2.0,-7.345278771826997,-7.475655897054821,-9.565122379688546,-48.77211409714073
-4.0,-1.9,-7.345278771826997,-7.556791685055941,-9.675114842597395,-49.15437059896067
-4.0,-1.8,-7.345278771826997,-7.6337231560610235,-9.753757533442695,-49.46551892266143
-4.0,-1.7,-7.345278771826997,-7.704674456850626,-9.791780246887356,-49.68346695112996
-4.0,-1.6,-7.345278771826997,-7.76822239428293,-9.782580950122792,-49.79216423246544
-4.0,-1.5,-7.345278771826997,-7.8232550212414935,-9.723045311577152,-49.78315820929129
-4.0,-1.4,-7.345278771826997,-7.869113452150486,-9.61368349607801,-49.65615144011099
-4.0,-1.3,-7.345278771826997,-7.905485186725855,-9.458724294381682,-49.41897650586907
-4.0,-1.2,-7.345278771826997,-7.932208327576518,-9.265546595677733,-49.0860673901625
-4.0,-1.1,-7.345278771826997,-7.9492590294685215,-9.043947714264505,-48.67697103112005
-4.0,-1.0,-7.345278771826997,-7.956899591139518,-8.805114898306783,-48.2145865225466
