R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E_Z=1,E_Z=2,E_total
4.6,1.0,53.0,0.0,0.0,1.6,-0.2,12.8,-2.654357,-3.16171,-5.816067
4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.0,-3.760325,-3.961094,-7.721419
4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.2,-3.978262,-4.034953,-8.013214999999999
4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.4,-3.735966,-3.74723,-7.4831959999999995
4.6,1.0,53.0,0.0,0.0,1.6,-0.2,13.6,-3.301318,-3.303693,-6.605011
4.6,1.0,53.0,0.0,0.0,1.6,-0.4,12.8,-2.345039,-3.508583,-5.853622
4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.0,-3.62625,-4.128349,-7.754599000000001
4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.2,-3.947247,-4.109532,-8.056778999999999
4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.4,-3.739234,-3.778073,-7.517307000000001
4.6,1.0,53.0,0.0,0.0,1.6,-0.4,13.6,-3.303872,-3.311341,-6.615213000000001
4.6,1.0,53.0,0.0,0.0,1.6,0.0,12.8,-2.89819,-2.89819,-5.79638
4.6,1.0,53.0,0.0,0.0,1.6,0.0,13.0,-3.849361,-3.849361,-7.698722
4.6,1.0,53.0,0.0,0.0,1.6,0.0,13.2,-3.994436,-3.994436,-7.988872
4.6,1.0,53.0,0.0,0.0,1.6,0.0,13.4,-3.733523,-3.733523,-7.467046
4.6,1.0,53.0,0.0,0.0,1.6,0.0,13.6,-3.300281,-3.300281,-6.600562
4.6,1.0,53.0,0.0,0.0,1.6,0.2,12.8,-3.16171,-2.654357,-5.816067
4.6,1.0,53.0,0.0,0.0,1.6,0.2,13.0,-3.961094,-3.760325,-7.721419
4.6,1.0,53.0,0.0,0.0,1.6,0.2,13.2,-4.034953,-3.978256,-8.013209
4.6,1.0,53.0,0.0,0.0,1.6,0.2,13.4,-3.74723,-3.735966,-7.4831959999999995
4.6,1.0,53.0,0.0,0.0,1.6,0.2,13.6,-3.303693,-3.301318,-6.605011
4.6,1.0,53.0,0.0,0.0,1.6,0.4,12.8,-3.508583,-2.345039,-5.853622
4.6,1.0,53.0,0.0,0.0,1.6,0.4,13.0,-4.128349,-3.62625,-7.754599000000001
4.6,1.0,53.0,0.0,0.0,1.6,0.4,13.2,-4.109532,-3.947246,-8.056778
4.6,1.0,53.0,0.0,0.0,1.6,0.4,13.4,-3.778073,-3.739234,-7.517307000000001
4.6,1.0,53.0,0.0,0.0,1.6,0.4,13.6,-3.311341,-3.303873,-6.615214
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,12.8,-3.902823,-4.288102,-8.190925
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,13.0,-4.417276,-4.548571,-8.965847
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,13.2,-4.298495,-4.326664,-8.625159
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,13.4,-3.870595,-3.871506,-7.742101
4.6,1.0,53.0,0.0,0.0,1.8,-0.2,13.6,-3.338291,-3.333984,-6.672275
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,12.8,-3.55595,-4.450256,-8.006206
4.6,1.0,53.0,0.0,0.0,1.8,-0.4,13.0,-4.273,-4.613674,-8.886674
