,Ra,Rb,R3,V
0,-3.7,-2.9,11.70355866341786,597.0264433276984
1,-3.7,-2.8,11.699000481470083,595.3609907290063
2,-3.7,-2.7,11.689734609931266,593.4918157811297
3,-3.7,-2.6,11.675699094389925,591.4162374453118
4,-3.7,-2.5,11.656797996401945,589.1301040448468
5,-3.7,-2.4,11.6328979996895,586.6276464004426
6,-3.7,-2.3,11.603823443895429,583.9012629190187
7,-3.7,-2.2,11.569349328751189,580.9412168534111
8,-3.7,-2.1,11.529191585211843,577.7352152917688
9,-3.7,-2.0,11.588075733830648,578.8151902262246
10,-3.7,-1.9,11.648350635718543,579.9553491463992
11,-3.7,-1.8,11.70226075370953,580.8200759883846
12,-3.7,-1.7,11.750276865253975,581.4297433545536
13,-3.7,-1.6,12.208482152680793,599.7900930681323
14,-3.7,-1.5,12.495326335239293,610.7348971796714
15,-3.7,-1.4,12.703938556118795,618.2942616384179
16,-3.7,-1.3,12.872278293880536,624.1108593514865
17,-3.7,-1.2,13.014431296312578,628.794242323934
18,-3.7,-1.1,13.13750857103738,632.6521350031562
19,-3.7,-1.0,13.245702309663152,635.8659518826412
20,-3.7,-0.9,13.341731273879974,638.5533456894141
21,-3.7,-0.8,13.42747653026903,640.795718413874
22,-3.7,-0.7,13.50430156417776,642.6520740393311
23,-3.7,-0.6,13.573229599458767,644.1666919438034
24,-3.7,-0.5,13.6350490689733,645.3736910706839
25,-3.7,-0.4,13.690379908875533,646.2998987728025
26,-3.7,-0.3,13.739717098240845,646.9667349628538
27,-3.7,-0.2,13.783460286469746,647.3914942209384
28,-3.7,-0.1,13.821934543058136,647.5882437280106
29,-3.7,0.1,13.884088865146532,647.3415332923768
30,-3.7,0.2,13.908161139229703,646.9150459330125
31,-3.7,0.3,13.92776291195438,646.295100398216
32,-3.7,0.4,13.943004666122011,645.4864777627416
33,-3.7,0.5,13.953969801950993,644.4927871193483
34,-3.7,0.6,13.96071700511088,643.3165680540121
35,-3.7,0.7,13.963281853023577,641.9593601576147
36,-3.7,0.8,13.96167776474518,640.4217441314914
37,-3.7,0.9,13.955896354577943,638.70335708977
38,-3.7,1.0,13.945907211393502,636.8028830097193
39,-3.7,1.1,13.93165708997602,634.7180177376259
40,-3.7,1.2,13.913068463470712,632.445406346901
41,-3.7,1.3,13.890037342921973,629.9805487799438
42,-3.7,1.4,13.862430215487906,627.3176673512739
43,-3.7,1.5,13.830079879605204,624.4495265168722
44,-3.7,1.6,13.792779851578388,621.367190822797
45,-3.7,1.7,13.750276865253975,618.0597003332333
46,-3.7,1.8,13.70226075370953,614.5136327668567
47,-3.7,1.9,13.648350635718543,610.7125057246637
48,-3.7,2.0,13.588075733830648,606.6359466042815
49,-3.7,2.1,13.529191585211843,602.619571469618
50,-3.7,2.2,13.569349328751189,602.8891728310527
51,-3.7,2.3,13.603823443895429,602.9128186964527
52,-3.7,2.4,13.6328979996895,602.7028019776691
53,-3.7,2.5,13.656797996401945,602.2688594218658
54,-3.7,2.6,13.675699094389925,601.6185926221232
55,-3.7,2.7,13.689734609931266,600.7577707577334
56,-3.7,2.8,13.699000481470083,599.6905455054024
57,-3.7,2.9,13.70355866341786,598.4195979038869
58,-3.6,-2.9,11.723862167115653,596.6081893730891
59,-3.6,-2.8,11.719346913814585,594.9445944849756
60,-3.6,-2.7,11.710168866942105,593.0792200951005
61,-3.6,-2.6,11.696267830706413,591.0094612678829
62,-3.6,-2.5,11.677550638871038,588.7312862921852
63,-3.6,-2.4,11.653887925415649,586.2390969336598
64,-3.6,-2.3,11.625109407202743,583.5255242950741
65,-3.6,-2.2,11.605393529947008,581.2041318268044
66,-3.6,-2.1,11.648760842965057,581.6126253181103
67,-3.6,-2.0,11.679860963567974,581.4902636609663
68,-3.6,-1.9,11.69985966804545,580.8874951017505
69,-3.6,-1.8,11.709428644427916,579.8333865236611
70,-3.6,-1.7,11.74933920396974,580.09229115081
71,-3.6,-1.6,12.205295906696026,598.3553347551659
72,-3.6,-1.5,12.493123746211998,609.3427060118605
73,-3.6,-1.4,12.702139575691826,616.9195363826259
74,-3.6,-1.3,12.870711001070267,622.746160233705
75,-3.6,-1.2,13.013017713785283,627.4361949233771
76,-3.6,-1.1,13.136205616325446,631.2988749527411
77,-3.6,-1.0,13.244483219135576,634.5163210028243
78,-3.6,-0.9,13.340578060911229,637.2065656201241
79,-3.6,-0.8,13.426376398364718,639.4512353947473
80,-3.6,-0.7,13.503245004092973,641.309476563688
81,-3.6,-0.6,13.572209294960919,642.8256634062137
82,-3.6,-0.5,13.63405922719572,644.0339807884328
83,-3.6,-0.4,13.689415829581582,644.9613033460626
84,-3.6,-0.3,13.738774885149144,645.6290857824633
85,-3.6,-0.2,13.782536646936212,646.0546487997656
86,-3.6,-0.1,13.821026644788857,646.252079500292
87,-3.6,0.1,13.883205293188748,646.0064217707102
88,-3.6,0.2,13.907286642135494,645.5803271204426
89,-3.6,0.3,13.926895667836511,644.9606954537018
90,-3.6,0.4,13.942142979074323,644.1523132969951
91,-3.6,0.5,13.953112068886917,643.1587937597919
92,-3.6,0.6,13.959861687074538,641.982679203284
93,-3.6,0.7,13.962427449459527,640.6255108801082
94,-3.6,0.8,13.960822789487857,639.0878701143129
95,-3.6,0.9,13.955039312475442,637.3693936311473
96,-3.6,1.0,13.94504657453588,635.4687639902969
97,-3.6,1.1,13.930791272463706,633.3836745285828
98,-3.6,1.2,13.912195793529111,631.1107666032277
99,-3.6,1.3,13.889156030924322,628.6455350566515
100,-3.6,1.4,13.861538316051828,625.9821954631457
101,-3.6,1.5,13.829175245313087,623.113503535742
102,-3.6,1.6,13.791860074926255,620.0305125654227
103,-3.6,1.7,13.74933920396974,616.7222481294897
104,-3.6,1.8,13.70130203227444,613.1752691981382
105,-3.6,1.9,13.647367112198124,609.373068861075
106,-3.6,2.0,13.587062914910202,605.2952420004144
107,-3.6,2.1,13.551276895333631,602.2784240836276
108,-3.6,2.2,13.590997254042293,602.5290978876095
109,-3.6,2.3,13.625109407202743,602.5370800725083
110,-3.6,2.4,13.653887925415649,602.3142525108864
111,-3.6,2.5,13.677550638871038,601.8700416692043
112,-3.6,2.6,13.696267830706413,601.2118164446944
113,-3.6,2.7,13.710168866942105,600.345175071704
114,-3.6,2.8,13.719346913814585,599.2741492613718
115,-3.6,2.9,13.723862167115653,598.0013439492775
116,-3.5,-2.9,11.769406195067797,597.2822034612852
117,-3.5,-2.8,11.764984354343433,595.6226509445307
118,-3.5,-2.7,11.755997358584091,593.7655441731614
119,-3.5,-2.6,11.742388720750952,591.7084387055833
120,-3.5,-2.5,11.724071112941733,589.4475554809518
121,-3.5,-2.4,11.872921143822815,594.4207482086535
122,-3.5,-2.3,11.921707430436557,595.063744423585
123,-3.5,-2.2,11.92710147420398,593.8289682242402
124,-3.5,-2.1,11.90164109386097,591.258985945363
125,-3.5,-2.0,11.92625225431155,590.8558185595416
126,-3.5,-1.9,11.942234222248365,590.0792282161376
127,-3.5,-1.8,11.94992275128854,588.9437444448288
128,-3.5,-1.7,11.949473124776876,587.4560870361153
129,-3.5,-1.6,12.186237734901487,596.2337286903426
130,-3.5,-1.5,12.480069964410196,607.4809362023984
131,-3.5,-1.4,12.69150719364532,615.1625511467691
132,-3.5,-1.3,12.861460215677537,621.0489627367145
133,-3.5,-1.2,13.00468066387498,625.7785387630473
134,-3.5,-1.1,13.128524934911338,629.6696227322611
135,-3.5,-1.0,13.237299469812466,632.9085732105793
136,-3.5,-0.9,13.333784301892008,635.6156944165605
137,-3.5,-0.8,13.41989665609472,637.8739530713759
138,-3.5,-0.7,13.497022884617285,639.7433427070637
139,-3.5,-0.6,13.566201448582605,641.2688020850696
140,-3.5,-0.5,13.6282313555294,642.4849077614002
141,-3.5,-0.4,13.683740120563398,643.4188150633164
142,-3.5,-0.3,13.733228295885446,644.0921850770629
143,-3.5,-0.2,13.777099713234888,644.5224933708615
144,-3.5,-0.1,13.815682630296575,644.7239450925671
145,-3.5,0.1,13.878004848317277,644.4845002493402
146,-3.5,0.2,13.902139747482227,644.0607229515743
147,-3.5,0.3,13.92179156946547,643.4429432674214
148,-3.5,0.4,13.937071668427095,642.6359799791406
149,-3.5,0.5,13.948064086494842,641.6434699577201
150,-3.5,0.6,13.954827952801024,640.4679719797118
151,-3.5,0.7,13.95739911028847,639.111037126251
152,-3.5,0.8,13.955791077509055,637.5732504042909
153,-3.5,0.9,13.949995406631128,635.8542462391532
154,-3.5,1.0,13.939981460022313,633.9526988062862
155,-3.5,1.1,13.925695591476595,631.8662865993748
156,-3.5,1.2,13.90705968027143,629.591628992571
157,-3.5,1.3,13.883968922344268,627.1241906550265
158,-3.5,1.4,13.8562887274197,624.458147275993
159,-3.5,1.5,13.82385049608418,621.586202820349
160,-3.5,1.6,13.786445944707932,618.4993439431116
161,-3.5,1.7,13.743819489689965,615.1865104223614
162,-3.5,1.8,13.695657963893781,611.6341501443699
163,-3.5,1.9,13.641576562062902,607.8256109001686
164,-3.5,2.0,13.581099298740588,603.7402947141375
165,-3.5,2.1,13.600682947821525,603.1195648898913
166,-3.5,2.2,13.639458214851956,603.3293404372739
167,-3.5,2.3,13.672786788691141,603.3034137127144
168,-3.5,2.4,13.700923472223845,603.0528111531216
169,-3.5,2.5,13.724071112941733,602.5863108579707
170,-3.5,2.6,13.742388720750952,601.9107938823947
171,-3.5,2.7,13.755997358584091,601.0314991497651
172,-3.5,2.8,13.764984354343433,599.9522057209269
173,-3.5,2.9,13.769406195067797,598.6753580374738
174,-3.4,-2.9,11.974664282026584,604.8677444607995
175,-3.4,-2.8,12.132152399917057,610.2147450498694
176,-3.4,-2.7,12.231345054679036,613.0390456041005
177,-3.4,-2.6,12.300101523972938,614.546239096819
178,-3.4,-2.5,12.347660350036843,615.1361177172473
179,-3.4,-2.4,12.378265402597128,614.9923322974059
180,-3.4,-2.3,12.3940505113434,614.2072229945463
181,-3.4,-2.2,12.395974418354989,612.8222787779143
182,-3.4,-2.1,12.384148146093608,610.8423040757281
183,-3.4,-2.0,12.35786949336476,608.236911566526
184,-3.4,-1.9,12.315393038927905,604.9305692279515
185,-3.4,-1.8,12.25322912200348,600.7722641526921
186,-3.4,-1.7,12.164096480910382,595.4469042544882
187,-3.4,-1.6,12.149761808047725,593.3583800710107
188,-3.4,-1.5,12.455688824307941,605.1289819832817
189,-3.4,-1.4,12.671787210839938,613.0123056206478
190,-3.4,-1.3,12.844359471637489,619.0120631447356
191,-3.4,-1.2,12.989298702097644,623.8160184081707
192,-3.4,-1.1,13.114371773313485,627.7602779435304
193,-3.4,-1.0,13.224073653424506,631.0393587110299
194,-3.4,-0.9,13.321284597004976,633.7779019421633
195,-3.4,-0.8,13.407980608182974,636.0614179908284
196,-3.4,-0.7,13.485585041235991,637.9515016311759
197,-3.4,-0.6,13.555160926274494,639.4941548323609
198,-3.4,-0.5,13.617524273825575,640.7246899441726
199,-3.4,-0.4,13.67331475741864,641.6707884421206
200,-3.4,-0.3,13.723041853112509,642.3544975868729
201,-3.4,-0.2,13.767116079102834,642.7935822989031
202,-3.4,-0.1,13.805870783500286,643.0024680110885
203,-3.4,0.1,13.868458311659573,642.7745042996672
204,-3.4,0.2,13.8926921329697,642.3550077964211
205,-3.4,0.3,13.91242299766121,641.740648636477
206,-3.4,0.4,13.927763645699333,640.9363055719529
207,-3.4,0.5,13.938799139692536,639.9456596345076
208,-3.4,0.6,13.945589313562067,638.7713000999976
209,-3.4,0.7,13.948170432155294,637.4147963072155
210,-3.4,0.8,13.946556172103334,635.8767401038957
211,-3.4,0.9,13.940737986857037,634.1567616434214
212,-3.4,1.0,13.930684878887785,632.2535195269539
213,-3.4,1.1,13.916342564736377,630.1646646714419
214,-3.4,1.2,13.89763197964719,627.8867755985907
215,-3.4,1.3,13.874447023347054,625.4152608848407
216,-3.4,1.4,13.846651391357554,622.744222038371
217,-3.4,1.5,13.814074258934564,619.8662667242588
218,-3.4,1.6,13.776504474908396,616.772257506509
219,-3.4,1.7,13.733682760411165,613.4509742528171
220,-3.4,1.8,13.685291159302201,609.8886576082677
221,-3.4,1.9,13.630938594851576,606.068383969766
222,-3.4,2.0,13.600528176463234,603.2841918625546
223,-3.4,2.1,13.644118141329928,603.7023204746089
224,-3.4,2.2,13.682098596141389,603.8777010158474
225,-3.4,2.3,13.71476666660858,603.8231914172507
226,-3.4,2.4,13.742361313507843,603.5491325583048
227,-3.4,2.5,13.7650733160587,603.0637802914881
228,-3.4,2.6,13.783052566519865,602.3736211113919
229,-3.4,2.7,13.79641339063726,601.4836023938108
230,-3.4,2.8,13.805238367448139,600.3972976953985
231,-3.4,2.9,13.809580962157582,599.1170206897671
232,-3.3,-2.9,12.400966629787451,622.0188388413245
233,-3.3,-2.8,12.47999882741979,623.9707081089011
234,-3.3,-2.7,12.54070235838328,625.1294156866538
235,-3.3,-2.6,12.58669981072373,625.6517268269528
236,-3.3,-2.5,12.620114883327279,625.6295432828084
237,-3.3,-2.4,12.642237139008234,625.1186700857271
238,-3.3,-2.3,12.653823650834653,624.1518691034885
239,-3.3,-2.2,12.655243750468289,622.7451229348399
240,-3.3,-2.1,12.646541497615754,620.9003382362764
241,-3.3,-2.0,12.627442787083947,618.6056532754592
242,-3.3,-1.9,12.597309943476592,615.8334730448516
243,-3.3,-1.8,12.55502484424263,612.5354114840788
244,-3.3,-1.7,12.498743882223518,608.6316876360389
245,-3.3,-1.6,12.425371676964474,603.9883508300954
246,-3.3,-1.5,12.419012432997723,602.2449583888465
247,-3.3,-1.4,12.642481478471685,610.4472427235262
248,-3.3,-1.3,12.819088069800506,616.6215834008408
249,-3.3,-1.2,12.966640158989335,621.5386085062861
250,-3.3,-1.1,13.093566531241391,625.5630684952954
251,-3.3,-1.0,13.204659701434455,628.9023564787614
252,-3.3,-0.9,13.302955942719816,631.6878652953968
253,-3.3,-0.8,13.390521889620253,634.0090272732566
254,-3.3,-0.7,13.468837545907595,635.9298886582471
255,-3.3,-0.6,13.539003351679275,637.4980703135221
256,-3.3,-0.5,13.601861095491978,638.7500001171243
257,-3.3,-0.4,13.658068819851671,639.7141544506387
258,-3.3,-0.3,13.70814944438783,640.4131623369205
259,-3.3,-0.2,13.752523536312808,640.8652235614134
260,-3.3,-0.1,13.791532078870487,641.0850939626514
261,-3.3,0.1,13.85451135419724,640.8740828670939
262,-3.3,0.2,13.878891154032953,640.4609034940638
263,-3.3,0.3,13.898738628209593,639.851590537313
264,-3.3,0.4,13.914168582865894,639.0511121613375
265,-3.3,0.5,13.925267601173433,638.0632151992222
266,-3.3,0.6,13.932096566746063,636.8905343516204
267,-3.3,0.7,13.93469237261343,635.5346661415233
268,-3.3,0.8,13.933068930736798,633.9962126004319
269,-3.3,0.9,13.927217547610178,632.2747975222629
270,-3.3,1.0,13.917106689874448,630.369056320445
271,-3.3,1.1,13.902681125042232,628.2765988433205
272,-3.3,1.2,13.883860381871147,625.993942747752
273,-3.3,1.3,13.860536427795534,623.5164129914203
274,-3.3,1.4,13.832570401044501,620.8380004172577
275,-3.3,1.5,13.799788154015777,617.9511688957141
276,-3.3,1.6,13.761974248943762,614.8465954910137
277,-3.3,1.7,13.71886387559071,611.5128207042494
278,-3.3,1.8,13.670131897739017,607.935774467127
279,-3.3,1.9,13.61537781793855,604.0981255007237
280,-3.3,2.0,13.639154443139748,603.658844119238
281,-3.3,2.1,13.681949772893647,604.042585389308
282,-3.3,2.2,13.719263812219754,604.1891272134679
283,-3.3,2.3,13.751377026611536,604.1106065621126
284,-3.3,2.4,13.778515630781337,603.8168127367087
285,-3.3,2.5,13.800860653501946,603.3155796451954
286,-3.3,2.6,13.818554595492436,602.6130739178674
287,-3.3,2.7,13.918942794398754,605.4891109039359
288,-3.3,2.8,14.16053023658972,614.4754576266002
289,-3.3,2.9,14.302897307324216,619.168104272155
